Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Meghalaya Transport Corporation(MTC) - 163300,Force Motors Non A/C Seater Executive (2+2),07:00,10:00,03h 00m,INR 200,12 Seats available,"4.4
357",https://www.redbus.in/bus-tickets/guwahati-to-shillong,Guwahati to Shillong
Meghalaya Transport Corporation(MTC) - 175777,Force Motors Non A/C Seater Executive (2+2),12:00,15:00,03h 00m,INR 200,24 Seats available,"4.3
104",https://www.redbus.in/bus-tickets/guwahati-to-shillong,Guwahati to Shillong
NETWORK TRAVELS,Bharat Benz A/C Sleeper (2+1),05:10,07:40,02h 30m,INR 400,17 Seats available,"2.3
15",https://www.redbus.in/bus-tickets/guwahati-to-shillong,Guwahati to Shillong
Jagannath Travels and Tours Pvt. Ltd.,NON A/C Seater / Sleeper (2+2),17:30,20:30,03h 00m,INR 350,50 Seats available,"1.4
9",https://www.redbus.in/bus-tickets/guwahati-to-shillong,Guwahati to Shillong
